StationName,Lat,Lon,Height
Adelaide,-34.9211,138.6216,48.0
Albany,-34.9414,117.8022,68.0
Albury,-36.0663,146.953,165.0
AliceSprings,-23.7951,133.889,546.0
BadgerysCreek,-33.8969,150.7281,81.2
Ballarat,-37.5127,143.7911,435.2
Bendigo,-36.7411,144.3274,209.2
Brisbane,-27.4808,153.0389,8.1
Cairns,-16.8736,145.7458,2.2
Canberra,-35.3106,149.197,577.1
Cobar,-31.484,145.8294,260.0
CoffsHarbour,-30.3107,153.1187,5.0
Dartmoor,-27.9775,115.2103,250.0
Darwin,-12.4239,130.8925,30.4
GoldCoast,-27.939,153.4283,3.0
Hobart,-42.8897,147.3278,50.5
Katherine,-14.4728,132.2612,106.0
Launceston,-41.5397,147.2033,166.0
Melbourne,-37.8075,144.97,31.2
MelbourneAirport,-37.6654,144.8329,113.4
Mildura,-34.2358,142.0867,50.0
Moree,-31.5939,119.1419,410.0
MountGambier,-37.8333,140.7833,65.0
MountGinini,-35.5293,148.7721,1760.0
Newcastle,-32.9184,151.7985,33.0
Nhil,-36.3093,141.6486,138.9
NorahHead,-33.2814,151.5766,18.8
NorfolkIsland,-29.0389,167.9408,111.7
Nuriootpa,-34.4747,138.9928,275.0
PearceRAAF,-31.6669,116.0189,40.0
Penrith,-33.7195,150.6783,24.7
Perth,-31.9275,115.9764,15.4
PerthAirport,-30.6969,115.5817,150.0
Portland,-38.3833,141.6333,38.0
Richmond,-20.7289,143.1425,211.1
Sale,-38.1,147.05,9.8
SalmonGums,-32.9803,121.6433,250.0
Sydney,-33.8607,151.205,39.0
SydneyAirport,-33.9465,151.1731,6.0
Townsville,-19.2483,146.7661,4.3
Tuggeranong,-35.4184,149.0937,586.7
Uluru,-22.4518,133.6377,565.6
WaggaWagga,-35.1583,147.4575,212.0
Walpole,-34.9761,116.7328,20.0
Watsonia,-37.7,145.0833,103.6
Williamtown,-32.8081,151.8419,4.9
Witchcliffe,-34.0281,115.1042,80.0
Wollongong,-34.403,150.8795,25.0
Woomera,-31.1558,136.8054,166.6
