stanica_1,stanica_2,razdaljina_km
Adelaide,Albany,1894.49
Adelaide,Albury,764.68
Adelaide,AliceSprings,1318.94
Adelaide,BadgerysCreek,1115.76
Adelaide,Ballarat,545.87
Adelaide,Bendigo,552.64
Adelaide,Brisbane,1598.92
Adelaide,Cairns,2127.84
Adelaide,Canberra,962.42
Adelaide,Cobar,771.57
Adelaide,CoffsHarbour,1449.6
Adelaide,Dartmoor,2344.44
Adelaide,Darwin,2620.05
Adelaide,GoldCoast,1602.56
Adelaide,Hobart,1161.69
Adelaide,Katherine,2361.25
Adelaide,Launceston,1049.43
Adelaide,Melbourne,652.57
Adelaide,MelbourneAirport,634.62
Adelaide,Mildura,326.24
Adelaide,Moree,1845.51
Adelaide,MountGambier,377.22
Adelaide,MountGinini,924.08
Adelaide,Newcastle,1235.11
Adelaide,Nhil,314.14
Adelaide,NorahHead,1205.79
Adelaide,NorfolkIsland,2830.69
Adelaide,Nuriootpa,60.13
Adelaide,PearceRAAF,2126.99
Adelaide,Penrith,1114.57
Adelaide,Perth,2123.1
Adelaide,PerthAirport,2198.6
Adelaide,Portland,469.39
Adelaide,Richmond,1638.95
Adelaide,Sale,831.63
Adelaide,SalmonGums,1578.89
Adelaide,Sydney,1159.86
Adelaide,SydneyAirport,1155.44
Adelaide,Townsville,1918.27
Adelaide,Tuggeranong,953.03
Adelaide,Uluru,1468.67
Adelaide,WaggaWagga,804.6
Adelaide,Walpole,1991.0
Adelaide,Watsonia,656.06
Adelaide,Williamtown,1242.07
Adelaide,Witchcliffe,2153.1
Adelaide,Wollongong,1121.89
Adelaide,Woomera,451.59
Albany,Albury,2631.88
Albany,AliceSprings,1986.81
Albany,BadgerysCreek,3008.79
Albany,Ballarat,2341.12
Albany,Bendigo,2391.68
Albany,Brisbane,3433.18
Albany,Cairns,3421.43
Albany,Canberra,2843.44
Albany,Cobar,2626.83
Albany,CoffsHarbour,3329.77
Albany,Dartmoor,812.34
Albany,Darwin,2829.92
Albany,GoldCoast,3449.14
Albany,Hobart,2686.6
Albany,Katherine,2697.07
Albany,Launceston,2656.03
Albany,Melbourne,2444.39
Albany,MelbourneAirport,2432.6
Albany,Mildura,2218.96
Albany,Moree,392.5
Albany,MountGambier,2076.72
Albany,MountGinini,2801.9
Albany,Newcastle,3129.56
Albany,Nhil,2155.24
Albany,NorahHead,3100.15
Albany,NorfolkIsland,4725.02
Albany,Nuriootpa,1934.09
Albany,PearceRAAF,400.03
Albany,Penrith,3008.31
Albany,Perth,375.5
Albany,PerthAirport,515.52
Albany,Portland,2153.57
Albany,Richmond,2936.81
Albany,Sale,2626.11
Albany,SalmonGums,415.94
Albany,Sydney,3052.71
Albany,SydneyAirport,3047.89
Albany,Townsville,3337.1
Albany,Tuggeranong,2832.44
Albany,Uluru,2071.91
Albany,WaggaWagga,2689.52
Albany,Walpole,97.53
Albany,Watsonia,2454.56
Albany,Williamtown,3136.42
Albany,Witchcliffe,267.31
Albany,Wollongong,3011.56
Albany,Woomera,1817.44
Albury,AliceSprings,1852.8
Albury,BadgerysCreek,420.04
Albury,Ballarat,324.23
Albury,Bendigo,246.66
Albury,Brisbane,1113.97
Albury,Cairns,2137.46
Albury,Canberra,219.38
Albury,Cobar,519.99
Albury,CoffsHarbour,859.1
Albury,Dartmoor,3109.08
Albury,Darwin,3081.99
Albury,GoldCoast,1089.98
Albury,Hobart,759.41
Albury,Katherine,2811.07
Albury,Launceston,609.0
Albury,Melbourne,261.8
Albury,MelbourneAirport,259.19
Albury,Mildura,486.92
Albury,Moree,2607.27
Albury,MountGambier,582.26
Albury,MountGinini,174.59
Albury,Newcastle,565.3
Albury,Nhil,476.74
Albury,NorahHead,523.97
Albury,NorfolkIsland,2111.08
Albury,Nuriootpa,743.76
Albury,PearceRAAF,2885.25
Albury,Penrith,428.35
Albury,Perth,2880.12
Albury,PerthAirport,2959.97
Albury,Portland,536.74
Albury,Richmond,1745.24
Albury,Sale,226.3
Albury,SalmonGums,2337.21
Albury,Sydney,458.49
Albury,SydneyAirport,450.81
Albury,Townsville,1870.17
Albury,Tuggeranong,206.19
Albury,Uluru,1985.74
Albury,WaggaWagga,110.79
Albury,Walpole,2726.68
Albury,Watsonia,246.27
Albury,Williamtown,576.29
Albury,Witchcliffe,2895.24
Albury,Wollongong,401.68
Albury,Woomera,1085.93
AliceSprings,BadgerysCreek,1983.37
AliceSprings,Ballarat,1792.88
AliceSprings,Bendigo,1751.52
AliceSprings,Brisbane,1960.79
AliceSprings,Cairns,1455.12
AliceSprings,Canberra,1953.05
AliceSprings,Cobar,1452.43
AliceSprings,CoffsHarbour,2034.0
AliceSprings,Dartmoor,1923.35
AliceSprings,Darwin,1303.31
AliceSprings,GoldCoast,2006.08
AliceSprings,Hobart,2455.8
AliceSprings,Katherine,1050.56
AliceSprings,Launceston,2327.33
AliceSprings,Melbourne,1880.24
AliceSprings,MelbourneAirport,1860.37
AliceSprings,Mildura,1406.98
AliceSprings,Moree,1688.69
AliceSprings,MountGambier,1692.78
AliceSprings,MountGinini,1937.35
AliceSprings,Newcastle,2020.51
AliceSprings,Nhil,1577.79
AliceSprings,NorahHead,2019.81
AliceSprings,NorfolkIsland,3428.72
AliceSprings,Nuriootpa,1286.28
AliceSprings,PearceRAAF,1960.93
AliceSprings,Penrith,1969.55
AliceSprings,Perth,1975.69
AliceSprings,PerthAirport,1962.5
AliceSprings,Portland,1780.1
AliceSprings,Richmond,1011.14
AliceSprings,Sale,2021.5
AliceSprings,SalmonGums,1571.99
AliceSprings,Sydney,2019.66
AliceSprings,SydneyAirport,2021.76
AliceSprings,Townsville,1423.92
AliceSprings,Tuggeranong,1952.8
AliceSprings,Uluru,151.56
AliceSprings,WaggaWagga,1818.95
AliceSprings,Walpole,2070.4
AliceSprings,Watsonia,1876.81
AliceSprings,Williamtown,2018.92
AliceSprings,Witchcliffe,2147.98
AliceSprings,Wollongong,2024.01
AliceSprings,Woomera,867.45
BadgerysCreek,Ballarat,743.97
BadgerysCreek,Bendigo,661.04
BadgerysCreek,Brisbane,746.8
BadgerysCreek,Cairns,1957.16
BadgerysCreek,Canberra,210.58
BadgerysCreek,Cobar,531.07
BadgerysCreek,CoffsHarbour,457.91
BadgerysCreek,Dartmoor,3433.31
BadgerysCreek,Darwin,3119.57
BadgerysCreek,GoldCoast,710.71
BadgerysCreek,Hobart,1042.69
BadgerysCreek,Katherine,2848.58
BadgerysCreek,Launceston,904.4
BadgerysCreek,Melbourne,676.8
BadgerysCreek,MelbourneAirport,676.79
BadgerysCreek,Mildura,796.63
BadgerysCreek,Moree,2953.57
BadgerysCreek,MountGambier,996.58
BadgerysCreek,MountGinini,254.77
BadgerysCreek,Newcastle,147.34
BadgerysCreek,Nhil,868.02
BadgerysCreek,NorahHead,104.22
BadgerysCreek,NorfolkIsland,1716.95
BadgerysCreek,Nuriootpa,1080.75
BadgerysCreek,PearceRAAF,3238.95
BadgerysCreek,Penrith,20.26
BadgerysCreek,Perth,3236.03
BadgerysCreek,PerthAirport,3306.56
BadgerysCreek,Portland,956.29
BadgerysCreek,Richmond,1643.46
BadgerysCreek,Sale,572.51
BadgerysCreek,SalmonGums,2691.68
BadgerysCreek,Sydney,44.21
BadgerysCreek,SydneyAirport,41.43
BadgerysCreek,Townsville,1675.38
BadgerysCreek,Tuggeranong,225.76
BadgerysCreek,Uluru,2098.53
BadgerysCreek,WaggaWagga,330.79
BadgerysCreek,Walpole,3104.9
BadgerysCreek,Watsonia,661.58
BadgerysCreek,Williamtown,159.25
BadgerysCreek,Witchcliffe,3268.52
BadgerysCreek,Wollongong,57.97
BadgerysCreek,Woomera,1339.24
Ballarat,Bendigo,98.09
Ballarat,Brisbane,1411.31
Ballarat,Cairns,2302.93
Ballarat,Canberra,542.07
Ballarat,Cobar,695.84
Ballarat,CoffsHarbour,1174.48
Ballarat,Dartmoor,2861.46
Ballarat,Darwin,3070.34
Ballarat,GoldCoast,1393.26
Ballarat,Hobart,668.94
Ballarat,Katherine,2803.51
Ballarat,Launceston,534.83
Ballarat,Melbourne,108.83
Ballarat,MelbourneAirport,93.35
Ballarat,Mildura,395.39
Ballarat,Moree,2343.57
Ballarat,MountGambier,267.1
Ballarat,MountGinini,496.65
Ballarat,Newcastle,888.34
Ballarat,Nhil,232.78
Ballarat,NorahHead,847.67
Ballarat,NorfolkIsland,2425.73
Ballarat,Nuriootpa,548.01
Ballarat,PearceRAAF,2613.55
Ballarat,Penrith,751.65
Ballarat,Perth,2606.53
Ballarat,PerthAirport,2694.02
Ballarat,Portland,212.53
Ballarat,Richmond,1867.32
Ballarat,Sale,293.64
Ballarat,SalmonGums,2068.07
Ballarat,Sydney,782.72
Ballarat,SydneyAirport,775.04
Ballarat,Townsville,2051.33
Ballarat,Tuggeranong,528.16
Ballarat,Uluru,1936.3
Ballarat,WaggaWagga,419.93
Ballarat,Walpole,2434.45
Ballarat,Watsonia,115.72
Ballarat,Williamtown,899.03
Ballarat,Witchcliffe,2606.68
Ballarat,Wollongong,725.38
Ballarat,Woomera,953.89
Bendigo,Brisbane,1315.26
Bendigo,Cairns,2213.57
Bendigo,Canberra,465.84
Bendigo,Cobar,600.67
Bendigo,CoffsHarbour,1083.21
Bendigo,Dartmoor,2889.65
Bendigo,Darwin,3018.26
Bendigo,GoldCoast,1298.22
Bendigo,Hobart,730.0
Bendigo,Katherine,2750.04
Bendigo,Launceston,588.31
Bendigo,Melbourne,131.5
Bendigo,MelbourneAirport,112.1
Bendigo,Mildura,344.59
Bendigo,Moree,2379.18
Bendigo,MountGambier,336.21
Bendigo,MountGinini,421.23
Bendigo,Newcastle,803.16
Bendigo,Nhil,244.13
Bendigo,NorahHead,763.77
Bendigo,NorfolkIsland,2357.48
Bendigo,Nuriootpa,544.02
Bendigo,PearceRAAF,2653.47
Bendigo,Penrith,667.33
Bendigo,Perth,2647.44
Bendigo,PerthAirport,2731.0
Bendigo,Portland,299.53
Bendigo,Richmond,1784.17
Bendigo,Sale,283.95
Bendigo,SalmonGums,2106.26
Bendigo,Sydney,701.26
Bendigo,SydneyAirport,694.08
Bendigo,Townsville,1959.58
Bendigo,Tuggeranong,452.82
Bendigo,Uluru,1892.39
Bendigo,WaggaWagga,332.18
Bendigo,Walpole,2485.95
Bendigo,Watsonia,125.89
Bendigo,Williamtown,813.42
Bendigo,Witchcliffe,2656.02
Bendigo,Wollongong,646.93
Bendigo,Woomera,930.59
Brisbane,Cairns,1397.34
Brisbane,Canberra,943.68
Brisbane,Cobar,827.4
Brisbane,CoffsHarbour,314.77
Brisbane,Dartmoor,3708.53
Brisbane,Darwin,2847.82
Brisbane,GoldCoast,63.76
Brisbane,Hobart,1789.12
Brisbane,Katherine,2590.43
Brisbane,Launceston,1651.12
Brisbane,Melbourne,1373.16
Brisbane,MelbourneAirport,1367.48
Brisbane,Mildura,1285.93
Brisbane,Moree,3297.86
Brisbane,MountGambier,1622.35
Brisbane,MountGinini,981.82
Brisbane,Newcastle,616.26
Brisbane,Nhil,1453.96
Brisbane,NorahHead,660.05
Brisbane,NorfolkIsland,1468.76
Brisbane,Nuriootpa,1546.26
Brisbane,PearceRAAF,3593.2
Brisbane,Penrith,729.5
Brisbane,Perth,3596.18
Brisbane,PerthAirport,3640.56
Brisbane,Portland,1610.56
Brisbane,Richmond,1253.13
Brisbane,Sale,1305.98
Brisbane,SalmonGums,3065.75
Brisbane,Sydney,730.73
Brisbane,SydneyAirport,740.7
Brisbane,Townsville,1116.61
Brisbane,Tuggeranong,958.43
Brisbane,Uluru,2031.49
Brisbane,WaggaWagga,1004.47
Brisbane,Walpole,3530.68
Brisbane,Watsonia,1357.65
Brisbane,Williamtown,603.43
Brisbane,Witchcliffe,3675.77
Brisbane,Wollongong,796.72
Brisbane,Woomera,1624.32
Cairns,Canberra,2078.44
Cairns,Cobar,1624.62
Cairns,CoffsHarbour,1671.14
Cairns,Dartmoor,3360.62
Cairns,Darwin,1672.04
Cairns,GoldCoast,1461.02
Cairns,Hobart,2896.74
Cairns,Katherine,1467.77
Cairns,Launceston,2746.28
Cairns,Melbourne,2328.98
Cairns,MelbourneAirport,2313.67
Cairns,Mildura,1964.73
Cairns,Moree,3141.44
Cairns,MountGambier,2380.56
Cairns,MountGinini,2095.94
Cairns,Newcastle,1884.58
Cairns,Nhil,2198.57
Cairns,NorahHead,1915.61
Cairns,NorfolkIsland,2637.09
Cairns,Nuriootpa,2069.36
Cairns,PearceRAAF,3415.99
Cairns,Penrith,1936.93
Cairns,Perth,3430.53
Cairns,PerthAirport,3416.66
Cairns,Portland,2425.11
Cairns,Richmond,508.75
Cairns,Sale,2363.7
Cairns,SalmonGums,3005.71
Cairns,Sydney,1965.95
Cairns,SydneyAirport,1974.18
Cairns,Townsville,285.23
Cairns,Tuggeranong,2088.58
Cairns,Uluru,1410.58
Cairns,WaggaWagga,2040.24
Cairns,Walpole,3509.18
Cairns,Watsonia,2316.7
Cairns,Williamtown,1874.49
Cairns,Witchcliffe,3597.38
Cairns,Wollongong,2015.1
Cairns,Woomera,1827.45
Canberra,Cobar,527.91
Canberra,CoffsHarbour,665.74
Canberra,Dartmoor,3301.5
Canberra,Darwin,3140.43
Canberra,GoldCoast,912.08
Canberra,Hobart,857.99
Canberra,Katherine,2868.75
Canberra,Launceston,714.03
Canberra,Melbourne,468.55
Canberra,MelbourneAirport,469.78
Canberra,Mildura,660.18
Canberra,Moree,2807.91
Canberra,MountGambier,801.64
Canberra,MountGinini,45.54
Canberra,Newcastle,357.9
Canberra,Nhil,689.49
Canberra,NorahHead,314.14
Canberra,NorfolkIsland,1893.09
Canberra,Nuriootpa,934.88
Canberra,PearceRAAF,3088.9
Canberra,Penrith,222.98
Canberra,Perth,3084.57
