Lokacija,Datum,TackaRose9am,univerzalnoVremeZa9am,TackaRose3pm,univerzalnoVremeZa3pm
YABA,2013-08-17,,,9.00,2013-08-17 06:00:00+00:00
YABA,2013-08-19,4.00,2013-08-18 23:30:00+00:00,,
YABA,2013-08-21,,,13.00,2013-08-21 07:00:00+00:00
YABA,2013-08-25,13.00,2013-08-25 01:00:00+00:00,14.00,2013-08-25 05:12:00+00:00
YABA,2013-08-26,12.00,2013-08-26 01:00:00+00:00,13.00,2013-08-26 07:00:00+00:00
YABA,2013-08-27,10.00,2013-08-26 23:30:00+00:00,11.00,2013-08-27 07:30:00+00:00
YABA,2013-08-29,,,8.00,2013-08-29 06:33:00+00:00
YABA,2013-08-30,9.00,2013-08-30 01:00:00+00:00,9.00,2013-08-30 07:00:00+00:00
YABA,2013-08-31,10.00,2013-08-31 01:00:00+00:00,8.00,2013-08-31 07:00:00+00:00
YABA,2013-09-01,,,10.00,2013-09-01 05:00:00+00:00
YABA,2013-09-03,13.00,2013-09-03 01:50:00+00:00,12.00,2013-09-03 06:29:00+00:00
YABA,2013-09-04,5.00,2013-09-04 02:25:00+00:00,5.00,2013-09-04 07:30:00+00:00
YABA,2013-09-06,6.00,2013-09-05 23:00:00+00:00,,
YABA,2013-09-07,,,13.00,2013-09-07 07:00:00+00:00
YABA,2013-09-09,6.00,2013-09-08 23:00:00+00:00,,
YABA,2013-09-11,9.00,2013-09-11 00:30:00+00:00,11.00,2013-09-11 07:00:00+00:00
YABA,2013-09-12,10.00,2013-09-12 01:59:00+00:00,9.00,2013-09-12 06:30:00+00:00
YABA,2013-09-15,10.00,2013-09-15 01:30:00+00:00,10.00,2013-09-15 06:30:00+00:00
YABA,2013-09-16,9.00,2013-09-16 03:00:00+00:00,13.00,2013-09-16 07:00:00+00:00
YABA,2013-09-17,4.00,2013-09-17 00:30:00+00:00,5.00,2013-09-17 06:11:00+00:00
YABA,2013-09-18,8.00,2013-09-18 00:57:00+00:00,8.00,2013-09-18 07:00:00+00:00
YABA,2013-09-19,12.00,2013-09-19 02:00:00+00:00,12.00,2013-09-19 06:11:00+00:00
YABA,2013-09-20,13.00,2013-09-20 01:18:00+00:00,12.00,2013-09-20 05:00:00+00:00
YABA,2013-09-21,,,9.00,2013-09-21 07:25:00+00:00
YABA,2013-09-22,10.00,2013-09-22 01:18:00+00:00,6.00,2013-09-22 07:18:00+00:00
YABA,2013-09-23,9.00,2013-09-23 02:14:00+00:00,9.00,2013-09-23 07:04:00+00:00
YABA,2013-09-24,9.00,2013-09-24 01:00:00+00:00,9.00,2013-09-24 06:54:00+00:00
YABA,2013-09-25,3.00,2013-09-25 01:00:00+00:00,,
